symbol,binance,bingx,bitget,bybit,lbank,mexc,okx,kcex
USDC,7,,4,4,4,4,4,
USDD,,,,,3,4,,
USDE,,,,4,,4,,
USDF,,,,,,4,,
USDG,,,,,,,4,
USDM,,,,,,4,,
USDP,,,,,,4,,
USDQ,,,,,4,,,
USDR,,,,,,3,,
USDUC,,,,,6,6,,
USELESS,7,4,5,5,5,6,,
USR,,,,,4,,,
USTC,7,,5,6,6,6,,
USUAL,7,5,5,5,5,5,,
UXLINK,7,,,,,5,4,
VADER,,,,,,6,,
VAI,,,,,,5,,
VANA,6,3,3,3,,3,,
VANRY,7,5,5,6,,6,,
VC,,,,,,6,,
VEE,,,,,,7,,
VELO,,,6,6,6,6,6,
VELVET,7,5,5,5,5,5,,
VENOM,,,,,,5,,
VERSE,,,,,5,,,
VERT,,,,,,7,,
VES,,,,,,6,,
VET,6,6,6,6,5,5,,
VEX,,,,,,6,,
VGX,,,,,,7,,
VIA,,,,,,4,,
VIBE,,,,,6,,,
VIC,7,4,4,5,,5,,
VIDT,7,,,,,,,
VINE,7,5,5,5,5,5,4,
VINU,,,,,,12,,
VIRTUAL,7,4,4,4,3,4,4,
VIRUS,,,,,6,,,
VISTA,,,,,,3,,
VITA,,,,,4,,,
VIX,,,,,7,,,
VLX,,,,,,4,,
VMC,,,,,,2,,
VMINT,,,,,,7,,
VNXAU,,,,,4,,,
VOLT,,,,,,10,,
VON,,,,,8,2,,
VOW,,,,,,4,,
VOXEL,7,,,,5,5,,
VPR,,,,,,7,,
VR,,,,,,6,,
VRA,,,,,7,7,7,
VSC,,,,,,6,,
VSG,,,,,7,,,
VSN,,5,,,,5,,
VSYS,,,,,,7,,
VT,,,,,6,,,
VTHO,7,,6,,,7,,
VULPEFI,,,,,,6,,
VVAIFU,,,,,7,7,,
VVV,6,3,3,4,3,4,,
W,7,5,5,5,5,5,5,
WAGMIGAMES,,,,,,8,,
WAI,,,,,,5,,
WAL,7,4,4,5,4,4,,
WALLET,,,,,,5,,
WAVES,4,4,3,4,,4,,
WAXP,7,,5,6,6,6,6,
WBT,,,,,,3,,
WBTC,,,,,,2,,
WCO,,,,,,7,,
WCT,7,5,5,5,5,5,5,
WDOG,,,,,7,,,
WEETH,,,,,,2,,
WELF,,,,,,4,,
WELSH,,,,,,6,,
WEMIX,,,,,,4,,
WEN,,,,,9,9,,
WHITE,,,,,,7,,
WHY,,,,,11,,,
WIF,7,4,4,4,4,4,3,
WILD,,,,,,5,,
WIN,,,,,8,8,8,
WING,,,,,6,5,,
WINR,,,,,,6,,
WIZARD,,,,,7,,,
WKC,,,,,,11,,
WLD,7,4,4,4,,4,4,
WLFI,7,4,4,4,4,4,4,
WLTH,,,,,,6,,
WMTON,,,,,,2,,
WMTX,,,,,,5,,
WNCG,,,,,,6,,
WNK,,,,,,8,,
WNT,,,,,,6,,
WNXM,,,,,,2,,
WOD,,,,,,5,,
WOJAK,,,,,,8,,
WOLF,,,,,,10,,
WOLVERINU,,,,,14,,,
WOO,5,5,5,5,5,5,5,
WQUIL,,,,,,4,,
WSDM,,,,,,6,,
WUSD,,,,,,4,,
WWB,,,,,2,,,
WXT,,,,,6,6,,
X,,,,,8,6,,
XAI,7,5,5,5,5,5,,
XAU,2,,2,,,,,
XAUT,,1,1,1,1,2,1,
XAVA,,,,,,4,,
XBT,,,,,7,,,
XCAD,,,,,,6,,
XCH,,,,3,,3,3,
XCHNG,,,,,,7,,
XCN,7,,,6,6,7,,
XCV,,,,,,7,,
XCX,,,,,,5,,
XDAG,,,,,,6,,
XDB,,,,,,7,,
XDC,,5,5,5,,5,,
XDOG,,,,,6,,,
XEC,,,,,8,8,,
XEL,,,,,,3,,
XELS,,,,,,6,,
XEM,4,,,,,,,
XEN,,,,,,11,,
XEP,,,,,,7,,
XFI,,,,,5,5,,
XGP,,,,,10,,,
XIN,,,,,,2,,
XION,,4,,5,4,4,,
XLAB,,,,,,10,,
XLM,5,5,5,5,4,4,5,
XMR,2,2,2,2,,2,,
XNA,,,,,,7,,
XNO,,,,4,,,,
XNY,7,6,,6,6,6,,
XO,,,,,,6,,
XOXO,,,,,,7,,
XP,,,,,6,6,,
XPIN,7,7,7,7,,7,,
XPL,7,4,4,4,4,4,4,
XPM,,,,,,5,,
XPR,,,,,,7,,
XR,,,,,6,6,,
XRD,,,,,,6,,
XRP,4,4,4,4,4,4,4,
XRPC,,,,,,7,,
XRPH,,,,,5,5,,
XSPA,,,,,7,,,
XSWAP,,,,,,5,,
XT,,,,,4,,,
XTER,,,,,5,4,,
XTM,,,,,,6,,
XTZ,3,,4,4,4,4,4,
XU3O8,,,,,3,3,,
XUSD,,,,,,4,,
XVG,7,,6,6,,6,,
XVS,6,,3,3,3,4,,
XX,,,,,,5,,
XYM,,,,,,6,,
XYO,,,,,,5,,
XYRO,,,,,,7,,
YAK,,,,,,,5,
YALA,7,5,,5,,5,,
YBR,,,,,,6,,
YEE,,5,,,5,6,,
YFI,1,0,,0,,1,0,
YFII,1,,,,,2,,
YGG,7,5,5,5,5,5,5,
YNE,,,,,6,6,,
YU,,,,,,8,,
YURU,,,,,,4,,
YZY,,,,4,7,4,,
ZANO,,,,,,3,,
ZBCN,,7,7,7,7,7,7,
ZBU,,,,,,4,,
ZCHF,,,,,,4,,
ZCX,,,,,,6,,
ZEC,2,2,2,2,,2,2,
ZEN,3,3,3,3,,3,3,
ZENT,,,,,,6,6,
ZEPH,,,,,,4,,
ZEREBRO,7,,5,5,5,5,,
ZETA,6,5,5,5,5,5,5,
ZETRIX,,,,,,3,,
ZEUS,,,,5,5,5,5,
ZF,,,,,,5,,
ZIG,,5,,,5,6,,
ZIL,5,5,6,6,6,6,6,
ZK,7,5,5,5,5,5,5,
ZKC,7,4,4,5,4,5,,
ZKJ,6,5,5,,,5,5,
ZKP,7,5,5,5,5,4,,
ZKWASM,,,,,6,6,,
ZLW,,,,,,6,,
ZND,,,,,,4,,
ZORA,7,5,5,6,6,6,5,
ZRC,7,,,,,5,,
ZRO,7,4,4,4,3,3,3,
ZRX,4,4,4,5,,4,4,
